generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Leuenbergeria_lychnidiflora,Pereskia_aculeata,0,0.032,0,0.005,0
3000,Leuenbergeria_lychnidiflora,Pereskia_aculeata,0,0.0777422,0.0520361,0.000954219,0
3000,Gymnocalycium_bruchii,Gymnocalycium_bodenbenderianum,34.2594,1.69575,0.0048097,0.425464,0
3000,Echinopsis_cardenasiana,Echinopsis_tiegeliana,31.533,0.722993,-0.0291693,0.143789,0
3000,Rhipsalis_pacheco-leonis,Rhipsalis_grandiflora,30.1647,0.41872,-0.00223353,0.0111153,0
3000,Rhipsalis_paradoxa,Schlumbergera_rosea,7.05233,0.242529,-0.0267264,0.010439,0
3000,Eriosyce_curvispina,Eriosyce_strausiana,26.7856,0.394756,0.00327684,0.0136623,0
6000,Leuenbergeria_lychnidiflora,Pereskia_aculeata,0,0.0758924,0.041932,0.000469694,0
6000,Cereus_bicolor,Cipocereus_bradei,25.6807,0.67578,-0.0176741,0.0227614,0
6000,Gymnocalycium_gibbosum,Gymnocalycium_kieslingii,35.6726,2.69147,-0.00440972,0.799131,0
6000,Gymnocalycium_alboareolatum,Gymnocalycium_bruchii,30.2361,0.662272,-0.00162656,0.00341646,0
6000,Echinopsis_cardenasiana,Echinopsis_arachnacantha,30.4122,0.464722,-0.00249904,0.0836498,0
6000,Copiapoa_coquimbana,Copiapoa_calderana,27.5684,1.37004,-0.0168258,0.772717,0
6000,Eriosyce_curvispina,Eriosyce_strausiana,27.0803,0.592179,0.00517274,0.161065,0
9000,Leuenbergeria_lychnidiflora,Pereskia_aculeata,0,0.141778,-0.00402713,0.000170676,0
9000,Pterocactus_valentinii,Pereskiopsis_rotundifolia,6.24968,0.367273,-0.0226304,0.0233621,0
9000,Gymnocalycium_alboareolatum,Gymnocalycium_spegazzinii,25.0726,0.413384,0.100764,0.260766,0
9000,Echinopsis_caineana,Echinopsis_walteri,21.1823,0.237386,0.0156496,0.0308953,0
12000,Leuenbergeria_lychnidiflora,Pereskia_aculeata,0,0.154253,-0.00613874,0.00109725,0
12000,Gymnocalycium_alboareolatum,Gymnocalycium_bruchii,29.9568,0.697305,0.017291,0.245776,0
12000,Harrisia_martinii,Harrisia_pomanensis,35.6686,1.09766,-0.00692775,0.0240266,0
12000,Echinopsis_cardenasiana,Echinopsis_arachnacantha,30.9832,0.434251,0.00531853,0.0510205,0
12000,Calymmanthium_substerile,Neowerdermannia_chilensis,20.0436,0.89189,0.0021556,0.80127,0
12000,Eriosyce_curvispina,Eriosyce_strausiana,29.1624,0.491893,0.0468667,0.286199,0
15000,Leuenbergeria_lychnidiflora,Pereskia_aculeata,0,0.169088,-0.00898168,0.00163112,0
15000,Brasiliopuntia_brasiliensis,Consolea_moniliformis,26.6567,0.408583,-0.0824143,0.0179047,0
15000,Brasilicereus_markgrafii,Coleocephalocereus_goebelianus,14.0323,0.252033,0.010064,0.00627155,0
