"Specie\Loci","1-Thelocactus bicolor chloroplast matK gene and partial tRNA-Lys intron isolate CHB54","2-Echinocereus coccineus voucher Sanchez 64 (MEXU) ribosomal protein L16 (rpl16) gene partial cds; chloroplast","3-Echinocereus laui voucher Sanchez 33 (MEXU) tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer partial sequence; chloroplast","4-UNVERIFIED: Cephalocereus apicicephalium voucher SA_1257 PsbA and psbA-trnH intergenic spacer partial sequence; chloroplast","22-ITS","5-Echinopsis lageniformis voucher B.O.Schlumpberger x39 (M) trnS(GCU)-trnG(UUC) intergenic spacer partial sequence; chloroplast","6-Brasiliopuntia brasiliensis voucher DBG:0559 atpB-rbcL intergenic spacer partial sequence; chloroplast","7-Echinocactus platyacanthus phytochrome C (PHYC) gene partial cds","8-UNVERIFIED: Cephalocereus senilis voucher SA_1417-a trnQ-rps16 intergenic spacer region partial sequence; chloroplast","9-Eriosyce umadeave rpl32-trnL intergenic spacer partial sequence; chloroplast","10-Opuntia wilcoxii tRNA-Leu (trnL) gene partial sequence; trnL-trnF intergenic spacer complete sequence; and tRNA-Phe (trnF) gene partial sequence; chloroplast","11-Turbinicarpus viereckii phosphoenolpyruvate carboxylase and phosphoenolpyruvate carboxylase-like genes partial sequence","12-Echinocereus metornii voucher Sanchez 83 (MEXU) ribulose-15-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene partial cds; chloroplast","13-Pilosocereus bohlei strain S35M11 petL-psbE intergenic spacer region partial sequence; chloroplast","14-Schlumbergera truncata chloroplast ribulose-15-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene partial cds","15-Opuntia repens voucher 3837 maturase K (matK) gene partial cds; chloroplast","16-Cereus saddianus isolate S103D1DT photosystem II protein D2 (psbD) gene partial cds; and psbD-trnT intergenic spacer partial sequence; chloroplast","17-Gymnocalycium paraguayense trnK-rps16 intergenic spacer and rps16 gene partial sequence; plastid","18-Disocactus crenatus isolate 12b Ycf1 (ycf1) gene partial cds; chloroplast","19-Opuntia schumannii voucher DBG:0362 PsbJ (psbJ) gene partial cds; and psbJ-petA intergenic spacer partial sequence; chloroplast","20-Tunilla corrugata voucher 0006 ndhF-rpl32 intergenic spacer partial sequence; chloroplast","21-Echinopsis schickendantzii voucher A.R. Franck 2312 (USF) atpB-rbcL intergenic spacer partial sequence; plastid",
"154401-Leuenbergeria guamacho",AY015275.1,AY851596.1,"-",AY851570.1,"-","-","-",AY875291.1,"-","-","-","-","-","-",AY875242.1,"-","-","-","-","-","-","-",
"154402-Pereskia stenantha",AY015276.1,AY851606.1,"-",AY851580.1,"-","-","-",AY875295.1,"-","-","-","-","-","-",AY875244.1,"-","-","-","-","-","-","-",
"154403-Leuenbergeria zinniiflora",AY015277.1,AY851597.1,"-",AY851571.1,"-","-","-",AY875290.1,"-","-","-","-","-","-",AY875237.1,"-","-","-","-","-","-","-",
"154407-Opuntia quimilo",AY015279.1,"-","-","-",JF786988.1,"-",JF787267.1,"-","-","-",JF712804.1,JN387248.1,"-","-","-","-","-","-","-",JF787569.1,JF787421.1,"-",
"154408-Pereskiopsis diguetii",AY015280.1,"-","-","-",HQ872535.1,"-",LN871113.1,HQ621113.1,"-","-","-","-","-","-",HQ621339.1,"-","-",HQ621579.1,"-","-","-","-",
"146122-Maihuenia patagonica",AY015281.1,HM041447.1,HM041293.1,AY875342.1,L78031.1,"-","-",AY875303.1,"-","-","-","-","-","-",AY875245.1,"-","-","-","-","-","-","-",
"106974-Maihuenia poeppigii",AY015282.1,AY851609.1,"-",AY851583.1,L78091.1,"-","-",AY875309.1,"-","-","-","-","-","-",HQ621336.1,"-","-",HQ621575.1,"-","-","-","-",
"154411-Blossfeldia liliputana",AY015284.1,HM041389.1,HM041234.1,LN867891.1,AY064349.1,"-","-",AY875301.1,"-","-","-",HM041543.1,"-","-",AY875232.1,"-","-",HQ621573.1,LN868092.1,"-","-","-",
"154413-Frailea gracillima",AY015285.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"154414-Frailea phaeodisca",AY015286.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"130113-Echinocactus platyacanthus",AY015287.1,HM041413.1,HM041259.1,AY875327.1,"-","-",MH129819.1,AY875294.1,"-","-","-",HM041641.1,"-","-",AY875215.1,"-","-","-","-","-","-","-",
"130144-Mammillaria haageana",AY015289.1,AY545268.1,"-",AY545385.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"130101-Aztekium ritteri",AY015290.1,AF267923.1,"-",MH129844.1,"-","-",MH129811.1,HQ621080.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"130105-Calymmanthium substerile",AY015291.1,DQ099995.1,DQ099926.1,AY851588.1,HQ727804.1,"-","-",AY875314.1,FN677924.1,LN868012.1,"-","-","-","-",FR853389.1,"-","-","-",LN868106.1,"-","-","-",
"154417-Copiapoa solaris",AY015292.1,"-",MF166995.1,MF167068.1,"-","-","-",MF167208.1,"-",MF166921.1,"-","-","-","-","-","-","-","-",LN868108.1,"-","-","-",
"153838-Armatocereus godingianus",AY015296.1,"-","-","-","-","-","-","-","-","-",AY015346.1,"-","-","-","-","-","-","-","-","-","-","-",
"153871-Leptocereus leonii",AY015297.1,"-","-","-","-","-","-","-","-","-",AY015347.1,"-","-","-","-","-","-","-","-","-","-","-",
"153844-Castellanosia caineana",AY015298.1,"-","-","-","-","-","-","-","-","-",AY015348.1,"-","-","-","-","-","-","-","-","-","-","-",
"153879-Neoraimondia arequipensis",AY015299.1,"-","-","-","-","-","-","-","-","-",AY015349.1,"-","-","-","-","-","-","-","-","-","-","-",
"153840-Austrocactus bertinii",AY015300.1,"-","-","-","-","-","-","-","-","-",AY015350.1,"-","-","-","-","-","-","-","-","-","-","-",
"153863-Eulychnia iquiquensis",AY015301.1,"-","-",LN867904.1,"-","-","-","-","-",MG263814.1,AY015351.1,"-","-","-","-","-","-","-",LN868105.1,"-","-","-",
"153849-Corryocactus brevistylus",AY015302.1,KM487303.1,JF975686.1,"-","-","-","-","-","-",JF975703.1,AY015352.1,"-","-","-","-","-","-","-","-","-","-","-",
"153890-Pfeiffera ianthothele",AY015304.1,FR716775.1,LT745463.1,FR716785.1,HQ727806.1,"-","-","-","-",HQ727883.1,"-","-","-","-","-","-","-","-","-","-","-","-",
"154420-Pfeiffera miyagawae",AY015305.1,FN673637.1,"-",FN995429.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"153854-Echinocereus pentalophus",AY015307.1,KF783558.1,KF783628.1,KF783509.1,"-","-","-","-",KF783699.1,"-","-","-",KF783403.1,"-","-","-","-","-","-","-","-","-",
"153861-Escontria chiotilla",AY015308.1,KF783610.1,KF783680.1,KY624693.1,"-","-","-","-",KY624763.1,KY624726.1,"-","-",KF783459.1,KY624796.1,"-","-","-","-",KY624831.1,"-","-","-",
"153875-Lophocereus schottii",AY015309.1,AY181613.1,AY181620.2,MH107796.1,AY181581.1,"-","-","-","-","-",AY048819.1,"-","-","-","-","-","-","-","-","-","-","-",
"153877-Micranthocereus albicephalus",AY015314.1,"-","-","-","-","-","-","-","-","-",AY015361.1,"-","-","-","-","-","-","-","-","-","-","-",
"153842-Browningia hertlingiana",AY015315.1,FN673555.1,JQ779688.1,FN995427.1,"-",JQ779526.1,"-","-",FN677806.1,"-","-","-","-","-",FR853281.1,"-","-",AM502521.1,"-","-","-",AM502347.1,
"154424-Browningia chlorocarpa",AY015316.1,KM487313.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"153865-Gymnocalycium denudatum",AY015317.1,"-",FR667087.1,"-","-","-","-","-","-","-","-","-","-",FR848294.1,"-","-","-","-","-","-","-","-",
"153848-Coleocephalocereus fluminensis",AY015318.1,KM487311.1,"-","-",AY064347.1,"-","-","-","-","-",AY015364.1,"-","-","-","-","-","-",AM502534.1,"-","-","-",AM502533.1,
"153901-Uebelmannia pectinifera",AY015319.1,HM041532.1,HM041375.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"153897-Stetsonia coryne",AY015320.1,HM041518.1,HM041361.1,"-",AY064345.1,JQ779508.1,"-","-","-","-","-","-","-","-",MG430085.1,"-","-",AM502585.1,"-","-","-",AM502584.1,
"153894-Samaipaticereus corroanus",AY015321.1,JN166906.1,JQ779660.1,"-","-",JQ779498.1,"-","-","-","-","-","-","-","-",MG430079.1,"-","-",AM502583.1,"-","-","-",JN166886.1,
"183649-Echinopsis chiloensis",AY015322.1,JQ779789.1,AY566653.1,"-",AY064346.1,JQ779489.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"153873-Echinopsis pentlandii",AY015323.1,JQ779704.1,JQ779550.1,"-","-",JQ779388.1,"-","-","-","-","-","-","-","-","-","-","-",AM502443.1,"-","-","-",AM502441.1,
"153869-Harrisia pomanensis",AY015324.1,JQ779791.1,JQ779653.1,"-","-",JQ779491.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"153892-Rauhocereus riosaniensis",AY015326.1,JQ779761.1,JQ779617.1,"-","-",JQ779455.1,"-","-","-","-","-","-","-","-","-","-","-",AM502512.1,"-","-","-",AM502511.1,
"154426-Matucana intertexta",AY015327.1,JQ779764.1,JQ779620.1,"-","-",JQ779458.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"153883-Oreocereus celsianus",AY015328.1,HM041483.1,FR667145.1,"-","-",JQ779464.1,"-","-","-","-","-","-","-",FR848317.1,"-","-","-",AM502577.1,"-","-","-",AM502576.1,
"153867-Haageocereus pseudomelanostele",AY015329.1,JQ889308.1,JQ779618.1,"-","-",JQ779456.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",JQ889305.1,
